CT_ID,business_id_count,n_biz_in_2km_avg,is_open_avg,stars_avg,review_count_avg,wday_hrs_avg,wend_hrs_avg,RestaurantsPriceRange2_avg,open_till_late_ratio,Restaurants_ratio,Food_ratio,Coffee & Tea_ratio,Shopping_ratio,Nightlife_ratio,Home Services_ratio,Local Services_ratio,Beauty & Spas_ratio,Health & Medical_ratio,Automotive_ratio,Arts & Entertainment_ratio,Hotels & Travel_ratio,Alcohol_ratio,DressFormal_ratio,RestaurantsTakeOut_ratio
32003006700,1767,2742.401245048104,0.8024900962082626,3.5947934352009057,203.04244482173175,43.26905300886625,17.418487077909827,2.3715498938428876,0.35370684776457273,0.3310696095076401,0.15053763440860216,0.04867006225240521,0.23712507074136954,0.2286361063950198,0.007357102433503113,0.011884550084889643,0.06338426711941143,0.007357102433503113,0.003395585738539898,0.17543859649122806,0.07413695529145445,0.35370684776457273,0.05263157894736842,0.29258630447085454
32003002302,602,2404.4186046511627,0.7906976744186046,3.6652823920265782,101.42524916943522,37.73255813953488,14.210548172757475,2.2995495495495497,0.3903654485049834,0.2558139534883721,0.10132890365448505,0.029900332225913623,0.30564784053156147,0.132890365448505,0.009966777408637873,0.026578073089700997,0.10963455149501661,0.024916943521594685,0.011627906976744186,0.1378737541528239,0.09302325581395349,0.2009966777408638,0.03156146179401993,0.19601328903654486
32003002605,46,2371.108695652174,0.782608695652174,3.3369565217391304,128.54347826086956,37.66304347826087,14.673913043478262,1.8461538461538463,0.2391304347826087,0.41304347826086957,0.13043478260869565,0.043478260869565216,0.021739130434782608,0.21739130434782608,0.021739130434782608,0.0,0.10869565217391304,0.021739130434782608,0.06521739130434782,0.13043478260869565,0.17391304347826086,0.43478260869565216,0.0,0.30434782608695654
32003002995,269,2097.531598513011,0.8438661710037175,3.704460966542751,96.40148698884758,43.03903345724907,14.821561338289962,1.8846153846153846,0.24535315985130113,0.25650557620817843,0.08178438661710037,0.01486988847583643,0.16728624535315986,0.11524163568773234,0.10780669144981413,0.08178438661710037,0.07063197026022305,0.022304832713754646,0.10780669144981413,0.09665427509293681,0.055762081784386616,0.23048327137546468,0.0037174721189591076,0.21933085501858737
04013217201,1102,1865.08166969147,0.7395644283121597,4.058076225045372,58.6016333938294,36.67627041742287,11.608212341197822,2.050666666666667,0.26497277676951,0.24047186932849365,0.10798548094373865,0.03357531760435572,0.1751361161524501,0.1733212341197822,0.06805807622504537,0.045372050816696916,0.23684210526315788,0.08620689655172414,0.009981851179673321,0.06352087114337568,0.043557168784029036,0.24047186932849365,0.016333938294010888,0.2177858439201452
32003002201,296,1856.5608108108108,0.8614864864864865,3.85472972972973,47.472972972972975,44.013513513513516,12.878378378378379,1.9891304347826086,0.13851351351351351,0.11824324324324324,0.0472972972972973,0.013513513513513514,0.13175675675675674,0.08783783783783784,0.19256756756756757,0.11486486486486487,0.05405405405405406,0.04054054054054054,0.19256756756756757,0.06418918918918919,0.06418918918918919,0.11148648648648649,0.010135135135135136,0.0945945945945946
04013217204,37,1787.3783783783783,0.8378378378378378,3.7837837837837838,35.54054054054054,37.3445945945946,10.304054054054054,2.0,0.24324324324324326,0.08108108108108109,0.08108108108108109,0.0,0.10810810810810811,0.0,0.2972972972972973,0.13513513513513514,0.1891891891891892,0.05405405405405406,0.02702702702702703,0.0,0.0,0.02702702702702703,0.0,0.10810810810810811
04013217502,62,1776.516129032258,0.8387096774193549,3.8870967741935485,35.66129032258065,49.399193548387096,14.17741935483871,1.5384615384615385,0.14516129032258066,0.16129032258064516,0.0967741935483871,0.016129032258064516,0.12903225806451613,0.06451612903225806,0.16129032258064516,0.08064516129032258,0.04838709677419355,0.04838709677419355,0.2903225806451613,0.04838709677419355,0.0967741935483871,0.16129032258064516,0.0,0.16129032258064516
04013217203,55,1703.7636363636364,0.7818181818181819,4.136363636363637,46.30909090909091,34.99545454545454,8.927272727272728,2.1724137931034484,0.3090909090909091,0.07272727272727272,0.07272727272727272,0.01818181818181818,0.14545454545454545,0.01818181818181818,0.09090909090909091,0.03636363636363636,0.3090909090909091,0.2,0.01818181818181818,0.0,0.09090909090909091,0.07272727272727272,0.0,0.10909090909090909
04013217300,293,1641.924914675768,0.8054607508532423,3.737201365187713,46.62457337883959,38.584470989761094,11.985494880546074,2.3317073170731706,0.5085324232081911,0.17747440273037543,0.1296928327645051,0.040955631399317405,0.4812286689419795,0.030716723549488054,0.09556313993174062,0.04778156996587031,0.10580204778156997,0.06484641638225255,0.010238907849829351,0.034129692832764506,0.010238907849829351,0.08191126279863481,0.013651877133105802,0.18430034129692832
